epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,5753.58,0.26559,0.36629,0.39372,0.89527,0.89957,0.92435,0.94609,0.93636,0.93278,0.88816,0.94573,0.93652,0.1636,0.56625,0.33668,0.8167,0.005149,0.005149,0.005149
51,5873.53,0.27186,0.36597,0.39403,0.89978,0.92992,0.90887,0.94819,0.94011,0.92851,0.90765,0.94682,0.93869,0.15828,0.50709,0.31451,0.8109,0.00505,0.00505,0.00505
52,5993.35,0.27039,0.36642,0.38879,0.89768,0.93263,0.91982,0.95877,0.95106,0.93383,0.91345,0.95772,0.94742,0.15951,0.54218,0.30392,0.81302,0.004951,0.004951,0.004951
53,6111.98,0.26933,0.36044,0.38063,0.89907,0.94557,0.91878,0.95538,0.94821,0.94431,0.91755,0.95432,0.9446,0.15575,0.56166,0.30676,0.81136,0.004852,0.004852,0.004852
54,6229.18,0.26615,0.36475,0.36839,0.89766,0.92342,0.92057,0.95556,0.94859,0.92216,0.91934,0.95463,0.9459,0.1527,0.49048,0.3073,0.81046,0.004753,0.004753,0.004753
55,6347.34,0.2627,0.35494,0.36477,0.89456,0.9338,0.93112,0.9572,0.94883,0.94109,0.92288,0.95638,0.9485,0.15882,0.51201,0.29135,0.81386,0.004654,0.004654,0.004654
56,6465.25,0.26188,0.35681,0.36817,0.89478,0.92283,0.92324,0.95112,0.94426,0.92153,0.922,0.95028,0.94325,0.15547,0.49744,0.30865,0.80993,0.004555,0.004555,0.004555
57,6582.98,0.26108,0.34945,0.35746,0.89666,0.93835,0.91078,0.95388,0.9484,0.93835,0.91078,0.95388,0.94562,0.14728,0.57491,0.301,0.80323,0.004456,0.004456,0.004456
58,6701.41,0.25616,0.35383,0.35734,0.89155,0.92069,0.92092,0.95601,0.94877,0.92069,0.92092,0.95634,0.94667,0.14935,0.4585,0.30415,0.80611,0.004357,0.004357,0.004357
59,6819.93,0.25736,0.35083,0.36032,0.8908,0.92795,0.92716,0.95666,0.94851,0.92795,0.92716,0.95558,0.94605,0.14935,0.50151,0.29052,0.80401,0.004258,0.004258,0.004258
60,6938.13,0.25447,0.34708,0.34954,0.89133,0.92998,0.92297,0.95798,0.94778,0.9287,0.92173,0.95774,0.94796,0.14746,0.49607,0.29905,0.80554,0.004159,0.004159,0.004159
61,7056.17,0.25874,0.35216,0.34149,0.89538,0.93826,0.90703,0.95783,0.94959,0.94512,0.89977,0.95633,0.94704,0.15163,0.42843,0.30081,0.80971,0.00406,0.00406,0.00406
62,7175.91,0.25635,0.33991,0.3456,0.89217,0.89356,0.93335,0.95508,0.94953,0.89242,0.93212,0.9546,0.94681,0.14673,0.50267,0.3104,0.80344,0.003961,0.003961,0.003961
63,7292.14,0.25116,0.33908,0.34042,0.88942,0.92169,0.91927,0.95472,0.948,0.92041,0.91807,0.95372,0.94591,0.14537,0.48583,0.31372,0.80255,0.003862,0.003862,0.003862
64,7420.56,0.25503,0.33931,0.3335,0.89072,0.93694,0.90919,0.95593,0.94872,0.93694,0.90919,0.9557,0.94613,0.14605,0.53141,0.30634,0.80573,0.003763,0.003763,0.003763
65,7548.9,0.24773,0.3381,0.32274,0.88938,0.92536,0.92449,0.95421,0.94756,0.92435,0.92124,0.95314,0.94465,0.14712,0.54695,0.30419,0.80814,0.003664,0.003664,0.003664
66,7660.34,0.25117,0.3342,0.32155,0.88937,0.94853,0.90236,0.95712,0.95001,0.94853,0.90236,0.95651,0.94699,0.14732,0.62631,0.29959,0.80816,0.003565,0.003565,0.003565
67,7759.52,0.24934,0.33551,0.32384,0.89162,0.94774,0.92007,0.95924,0.954,0.94774,0.92007,0.95845,0.95107,0.1412,0.57394,0.28703,0.79947,0.003466,0.003466,0.003466
